features,score,elbow
"['danceability', 'energy', 'key']",0.5209838268972534,4
"['instrumentalness', 'speechiness', 'tempo']",0.675170031249053,5
"['instrumentalness', 'loudness', 'tempo']",0.6003485069019551,4
"['danceability', 'energy', 'speechiness']",0.5501142394025591,4
"['liveness', 'loudness', 'tempo']",0.5427333006114528,4
"['energy', 'tempo', 'valence']",0.5253594374259214,4
"['instrumentalness', 'liveness', 'valence']",0.7308576459681101,2
"['danceability', 'liveness', 'loudness']",0.65508946316675,2
"['danceability', 'liveness', 'tempo']",0.5548127425293087,4
"['acousticness', 'danceability', 'energy']",0.511404942363338,4
"['acousticness', 'energy', 'instrumentalness']",0.5347782035270209,4
"['energy', 'instrumentalness', 'valence']",0.5738903647677169,4
"['danceability', 'instrumentalness', 'liveness']",0.7402115654590399,2
"['danceability', 'instrumentalness', 'loudness']",0.7377059115130505,2
"['danceability', 'instrumentalness', 'tempo']",0.5884595943878954,3
"['instrumentalness', 'key', 'liveness']",0.5502618530006359,3
"['instrumentalness', 'key', 'loudness']",0.5351200687348012,3
"['acousticness', 'instrumentalness', 'loudness']",0.6821864723119455,2
"['loudness', 'speechiness', 'tempo']",0.5159076143672497,5
"['acousticness', 'instrumentalness', 'speechiness']",0.5240394821659928,4
"['danceability', 'energy', 'tempo']",0.5419641532398605,4
"['instrumentalness', 'loudness', 'valence']",0.7279607017540207,2
"['liveness', 'loudness', 'valence']",0.6346126530890019,2
"['energy', 'instrumentalness', 'speechiness']",0.5562073126896624,4
"['danceability', 'speechiness', 'tempo']",0.5592957383011644,2
"['danceability', 'key', 'speechiness']",0.6395465341917165,8
"['acousticness', 'instrumentalness', 'liveness']",0.5554047479759217,5
"['acousticness', 'instrumentalness', 'tempo']",0.5815115106708149,6
"['instrumentalness', 'liveness', 'loudness']",0.8155356237917339,2
"['instrumentalness', 'liveness', 'speechiness']",0.7505805258450134,2
"['instrumentalness', 'speechiness', 'valence']",0.5332709889525047,3
"['energy', 'instrumentalness', 'liveness']",0.5703332689918562,3
"['energy', 'instrumentalness', 'loudness']",0.599308066444552,3
"['energy', 'instrumentalness', 'tempo']",0.5880779419296985,4
"['danceability', 'instrumentalness', 'valence']",0.6364402922249219,2
"['liveness', 'speechiness', 'tempo']",0.5630660714712269,4
"['acousticness', 'liveness', 'tempo']",0.5842401039391272,8
"['instrumentalness', 'liveness', 'tempo']",0.6800070609504942,4
"['danceability', 'energy', 'instrumentalness']",0.5211928307002287,3
"['instrumentalness', 'loudness', 'speechiness']",0.7537252658487383,2
"['acousticness', 'instrumentalness', 'valence']",0.5183973145570994,4
"['liveness', 'loudness', 'speechiness']",0.540614857582913,3
"['energy', 'speechiness', 'tempo']",0.5345525869025666,4
"['energy', 'liveness', 'loudness']",0.5450915689832359,3
"['energy', 'liveness', 'tempo']",0.5356741092632747,4
"['danceability', 'instrumentalness', 'key']",0.6248547028300577,7
"['danceability', 'instrumentalness', 'speechiness']",0.6246502563509105,3
"['acousticness', 'tempo', 'valence']",0.525350617406445,5
"['instrumentalness', 'tempo', 'valence']",0.57670780337629,5
"['liveness', 'tempo', 'valence']",0.5370616104617477,6
"['acousticness', 'speechiness', 'tempo']",0.5410701184599885,6
"['instrumentalness', 'key', 'speechiness']",0.5363313299356993,3
